predicate_code,family,default_polarity,relationship_graph_eligible,description
THANKS_FOR_WORK,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
CREDITS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
VALIDATES,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
AFFIRMS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
RECOMMENDS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
RECOMMENDS_AS_SOURCE,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
TRUSTS_AS_SOURCE,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
CALLS_EXPERT,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
CALLS_RELIABLE,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
CALLS_IMPORTANT,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
CALLS_VALUABLE,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
EXPRESSES_CONFIDENCE_IN,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
EXPRESSES_SOLIDARITY_WITH,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
SIDES_WITH,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
CELEBRATES,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
APPLAUDS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
PREFERS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
FAVORS,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
PROMOTES_REPUTATION,POSITIVE_STANCE,POSITIVE,NO,"Normalized investigative semantic predicate"
CRITICIZES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
DISAGREES_WITH,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
DISPUTES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
REJECTS,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
DENOUNCES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CONDEMNS,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
BLAMES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
FAULTS,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
MOCKS,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
RIDICULES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
BELITTLES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
DISMISSES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
WARNS_AGAINST,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
OPPOSES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
DISTANCES_FROM,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
DISTRUSTS,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
QUESTIONS_CREDIBILITY,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
QUESTIONS_MOTIVES,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
QUESTIONS_COMPETENCE,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_WRONG,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_MISLEADING,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_DANGEROUS,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_HARMFUL,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_IRRESPONSIBLE,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_CORRUPT,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_DISHONEST,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_FRAUDULENT,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_SCAM,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_LIE,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_PROPAGANDA,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_CAPTURED,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_COMPROMISED,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_ENEMY,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
CALLS_THREAT,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
EXPRESSES_CONTEMPT,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
EXPRESSES_HOSTILITY,NEGATIVE_STANCE,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_MISCONDUCT,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_FINANCIAL_MISCONDUCT,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_FRAUD,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_DECEPTION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_LYING,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_CORRUPTION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_BRIBERY,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_THEFT,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_EMBEZZLEMENT,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_MARKET_MANIPULATION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_UNDISCLOSED_CONFLICT,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_SELF_DEALING,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_GRIFTING,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_EXPLOITATION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_CENSORSHIP,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_SURVEILLANCE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_COERCION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_COLLUSION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_COORDINATION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_CONSPIRACY,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_COVERUP,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_FALSE_FLAG,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_INSIDE_KNOWLEDGE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_PROPAGANDA,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_DISINFORMATION,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_SABOTAGE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_VIOLENCE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_CRIMINALITY,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_NEGLIGENCE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_MALPRACTICE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_REGULATORY_CAPTURE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_ELECTION_MISCONDUCT,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
ACCUSES_HUMAN_RIGHTS_ABUSE,ALLEGATION,NEGATIVE,NO,"Normalized investigative semantic predicate"
INTERVIEWS,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_INTERVIEWED_BY,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
HOSTS,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_HOSTED_BY,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
COHOSTS,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
APPEARS_WITH,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
APPEARS_ON,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INVITES,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_INVITED_BY,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FEATURES,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_FEATURED_BY,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FOLLOWS_CONTENT,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
WATCHES_CONTENT,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
LISTENS_TO_CONTENT,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
READS_CONTENT,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SUBSCRIBES_TO,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RECOMMENDS_SHOW,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RECOMMENDS_CHANNEL,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RECOMMENDS_NEWSLETTER,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
AMPLIFIES,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RESHARES,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
REPOSTS,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
LINKS_AUDIENCE_TO,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CROSS_PROMOTES,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
GUESTS_REPEATEDLY,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
COLLABORATES_MEDIA,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DEBATES,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PANEL_WITH,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CONFERENCE_WITH,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SPEAKS_AT,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
MODERATES,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INTRODUCES_GUEST,MEDIA_SOCIAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SELLS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
BUYS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
PROMOTES_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
RECOMMENDS_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
ADVERTISES,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
SPONSORS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_SPONSORED_BY,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
AFFILIATE_PROMOTES,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
USES_AFFILIATE_LINK,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
OFFERS_DISCOUNT_CODE,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CALLS_TO_BUY,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CALLS_TO_SUBSCRIBE,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CALLS_TO_DONATE,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CALLS_TO_INVEST,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
UPSELLS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
BUNDLES,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
LICENSES,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
MANUFACTURES,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
DISTRIBUTES,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IMPORTS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
EXPORTS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
RESELLS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
REFERS_CUSTOMER,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
EARNS_COMMISSION,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
RECEIVES_ROYALTY,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
OWNS_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
LAUNCHES_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
PARTNERS_ON_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
COBRANDS,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
ENDORSES_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CRITICIZES_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
COMPARES_PRODUCT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CLAIMS_PRODUCT_BENEFIT,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CLAIMS_PRODUCT_RISK,COMMERCIAL,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
OWNS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
COOWNS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CONTROLS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
MANAGES,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
DIRECTS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
INVESTS_IN,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
HOLDS_STAKE_IN,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
HOLDS_SECURITIES_IN,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
SHORTS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
LENDS_TO,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
BORROWS_FROM,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
PAYS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_PAID_BY,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
FUNDS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_FUNDED_BY,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
DONATES_TO,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
RECEIVES_DONATION_FROM,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
GRANTS_TO,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
RECEIVES_GRANT_FROM,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
EMPLOYS,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_EMPLOYED_BY,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CONTRACTS_WITH,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_CONTRACTED_BY,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
ADVISES,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_ADVISED_BY,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
BOARD_MEMBER_OF,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
OFFICER_OF,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
FOUNDER_OF,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
COFOUNDER_OF,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
BENEFITS_FINANCIALLY_FROM,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
SHARES_REVENUE_WITH,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
RELATED_PARTY_TO,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
JOINT_VENTURE_WITH,FINANCE_OWNERSHIP,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
WORKS_WITH,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
WORKED_WITH,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
COLLABORATES_WITH,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
PARTNERS_WITH,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CONSULTS_FOR,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
REPRESENTS_LEGALLY,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_REPRESENTED_BY,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
LOBBIES_FOR,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_LOBBIED_BY,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
RESEARCHES_WITH,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
COAUTHORS_WITH,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
COPRODUCES_WITH,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
MEMBER_OF,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
LEADS,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CHAIRS,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
SERVES_ON,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
VOLUNTEERS_FOR,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
ADVISES_ORGANIZATION,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
HIRES,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
FIRES,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
APPOINTS,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_APPOINTED_BY,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
REPORTS_TO,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
SUPERVISES,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
MENTORS,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
IS_MENTORED_BY,PROFESSIONAL_ORG,NOT_APPLICABLE,CONDITIONAL,"Normalized investigative semantic predicate"
CITES_PRIMARY_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_SECONDARY_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_STUDY,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_REPORT,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_BOOK,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_ARTICLE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_WEBSITE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_VIDEO,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CITES_ANONYMOUS_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS_PERSONAL_KNOWLEDGE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS_INSIDER_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS_DOCUMENTARY_EVIDENCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS_STATISTICAL_EVIDENCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
