motif_type,pattern,interpretation
CONFERENCE_BRIDGE,"person/org connects communities through recurring conferences","event infrastructure bridge"
SHARED_CONFERENCE_CLUSTER,"multiple network nodes repeatedly attend same event series","event-based relationship lead"
RECIPROCAL_HOSTING,"A hosts B and B hosts A repeatedly","reciprocal media tie"
ONE_WAY_AMPLIFICATION,"A repeatedly promotes B; B rarely/never reciprocates","asymmetric influence"
RECIPROCAL_PROMOTION,"A promotes B and B promotes A","mutual amplification"
PRAISE_TO_COMMERCIAL,"praise(A,B) followed by commercial relationship(A,B)","timeline/disclosure review"
COMMERCIAL_TO_PRAISE,"commercial relationship predates repeated praise","COI disclosure review"
STANCE_REVERSAL,"positive(A,X) then negative(A,X) or reverse","topic/time-specific stance change"
TOPIC_SPECIFIC_MIXED_STANCE,"A praises X on topic1 and attacks X on topic2","avoid flattening into one polarity"
ATTACK_AFTER_BREAK,"relationship(A,B) ends then negative stance rises","relationship-change lead"
SUPPORT_AFTER_DEAL,"financial/commercial tie begins then positive stance rises","disclosure lead"
SHARED_UNUSUAL_PHRASE,"rare phrase appears across speakers near in time","common-source/coordination lead"
SHARED_UNUSUAL_PHRASE_CONNECTED,"same plus documented relationship","higher-priority common-source lead"
SYNCHRONIZED_CLAIM_BURST,"same claim appears across network in narrow time window","investigate triggering source/event"
SYNCHRONIZED_PRODUCT_BURST,"same product promoted by multiple nodes in narrow window","campaign/sponsor lead"
SYNCHRONIZED_ATTACK_BURST,"same target attacked by multiple related nodes in narrow window","investigate common trigger; no coordination assumption"
COMMON_PRIMARY_SOURCE,"different speakers cite same primary source","shared evidence lineage"
COMMON_SECONDARY_SOURCE,"different speakers cite same secondary source","possible dependence"
ANONYMOUS_SOURCE_REUSE,"multiple claims rely on same unnamed-source description","source-independence concern"
SOURCE_QUALITY_MISMATCH,"extraordinary claim rests on weak/secondary source","fact-check prioritization"
CITATION_DOES_NOT_SUPPORT,"cited source does not substantiate stated claim","citation fidelity finding after review"
CHERRY_PICKING_CANDIDATE,"speaker cites favorable subset while material contrary source omitted","requires careful contextual review"
RETRACTION_WITHOUT_PROPAGATION,"origin retracts/corrects but amplifiers retain old claim","correction propagation failure"
CORRECTION_PROPAGATES,"correction spreads through same amplifier network","positive correction signal"
ALLEGATION_CLUSTER_TARGET,"many distinct speakers make allegations about same target","investigate target; not proof"
ALLEGATION_CLUSTER_SAME_CLAIM,"many speakers repeat same allegation","source-lineage/fact-check priority"
ALLEGATION_WITH_FINANCIAL_CONFLICT,"negative allegation + documented financial conflict","COI lead"
ALLEGATION_WITHOUT_PRIMARY_SUPPORT,"serious allegation repeatedly lacks primary source","fact-check priority"
SERIOUS_ALLEGATION_CONTRADICTED,"verified-text allegation linked to contradicted fact claim","reportable discrepancy with context"
SERIOUS_ALLEGATION_VERIFIED,"verified-text allegation linked to verified fact claim","supported allegation with primary evidence"
REPEATED_UNVERIFIED_ALLEGATION,"same unresolved allegation repeated over time","persistence despite unresolved status"
TARGET_IGNORES_ATTACK,"A attacks B repeatedly; no observed response from B","asymmetric adversarial relation"
MUTUAL_ATTACK,"A attacks B and B attacks A","reciprocal adversarial discourse"
DEFENSE_NETWORK,"multiple related sources defend same target against allegations","shared defense pattern"
ATTACK_DEFENSE_SPLIT,"community partitions into attackers vs defenders of X","stance cleavage"
POLARIZATION_AROUND_TARGET,"strong positive and negative clusters around X","polarized target"
SCAPEGOAT_PATTERN,"scapegoat framing repeatedly concentrates blame on target","rhetorical target lead"
ENEMY_FRAMING_CLUSTER,"multiple related speakers use enemy framing toward same target","rhetorical convergence"
CATASTROPHE_REPEAT,"repeated catastrophe framing across episodes","rhetorical frequency"
FEAR_ESCALATION,"risk framing becomes catastrophe framing over time","rhetorical escalation"
URGENCY_AFTER_SCARE,"scare claim immediately followed by urgency/action language","persuasion chain"
CALL_TO_ACTION_AFTER_ALLEGATION,"allegation followed by action request","mobilization chain"
CALL_TO_CONTACT_OFFICIALS_AFTER_CLAIM,"claim followed by political contact CTA","mobilization event; neutral descriptive handling"
DONATION_AFTER_THREAT,"threat narrative followed by fundraising","fundraising chain"
SUBSCRIPTION_AFTER_EXCLUSIVITY,"exclusive/insider framing followed by subscribe CTA","subscription persuasion"
AFFILIATE_DISCLOSURE_PRESENT,"affiliate promotion with explicit disclosure","positive COI/disclosure signal"
AFFILIATE_DISCLOSURE_ABSENT,"documented affiliate promotion without observed disclosure in pitch","COI lead"
SPONSOR_DISCLOSURE_PRESENT,"sponsor promotion with disclosure","positive disclosure signal"
SPONSOR_DISCLOSURE_ABSENT,"documented sponsorship + promotional segment without observed disclosure","COI lead"
OWNERSHIP_DISCLOSURE_ABSENT,"recommends product/company with documented ownership and no observed disclosure","high-priority COI lead"
INVESTMENT_DISCLOSURE_ABSENT,"comments on security/company with documented position and no observed disclosure","high-priority market COI lead"
SHORT_POSITION_NEGATIVE_CLAIM,"negative claims about target + documented short position","market-conflict lead, not manipulation proof"
LONG_POSITION_POSITIVE_CLAIM,"positive claims + documented long interest","market-conflict lead"
RELATED_PARTY_TRANSACTION,"money flow between related entities","financial review"
ROUND_TRIP_MONEY,"funds move through chain and return to related origin","forensic finance lead"
SHARED_VENDOR,"multiple entities use same unusual vendor/contractor","infrastructure link"
SHARED_ATTORNEY,"multiple entities share attorney/law firm","professional infrastructure link"
SHARED_PR_FIRM,"multiple entities share PR/marketing firm","communications infrastructure link"
SHARED_PAYMENT_PROCESSOR,"common payment/merchant infrastructure","commercial infrastructure link"
SHARED_MAILING_LIST_TECH,"common unusual audience infrastructure","technical lead only"
DOMAIN_REGISTRATION_OVERLAP,"web entities share registrant/contact/infrastructure where public and reliable","web-infrastructure lead"
CORPORATE_OFFICER_OVERLAP,"same officer/director across entities","formal control/personnel bridge"
ADDRESS_OVERLAP,"entities share business address","lead; shared service offices must be excluded"
PHONE_EMAIL_OVERLAP,"entities share contact identifiers","lead with context"
TRADEMARK_LICENSE_LINK,"product/name licensed across entities","formal commercial link"
MANUFACTURING_WHITE_LABEL,"different branded products trace to same manufacturer/formulation","product-network lead"
PRICE_MARKUP_CHAIN,"same base product sold at materially different network price","consumer/product lead"
CLAIM_PRODUCT_DEPENDENCY,"product pitch depends on factual threat/health claim","fact-check priority"
HEALTH_CLAIM_TO_PRODUCT,"health claim followed by product promotion","health-commerce lead"
REGULATORY_ACTION_PRODUCT,"promoted product/entity has regulator action","product dossier lead"
CONSUMER_COMPLAINT_CLUSTER,"independent complaints cluster around product/entity","lead; complaints are allegations"
REFUND_CHARGEBACK_PATTERN,"documented recurring refund/chargeback disputes","consumer-commerce lead"
FAILED_PRODUCT_TEST,"independent test conflicts with marketed claim","product validation lead"
GUEST_TO_CUSTOMER_FUNNEL,"guest appearance sends traffic to commercial offer","audience-commerce path"
SHOW_TO_EVENT_FUNNEL,"media promotion routes audience to paid event","commerce path"
NEWSLETTER_TO_PRODUCT_FUNNEL,"newsletter narrative routes to product/service","commerce path"
CROSS_COMMUNITY_MONEY_BRIDGE,"financial edge connects otherwise separate communities","structural financial bridge"
CROSS_COMMUNITY_MEDIA_BRIDGE,"recurring media edge connects communities","structural media bridge"
CROSS_COMMUNITY_STANCE_BRIDGE,"person carries same stance between communities","discourse bridge only"
OUTLIER_HIGH_BETWEENNESS,"low-degree node has high brokerage/betweenness","investigate structural broker"
HIDDEN_HUB_HIGH_FINANCIAL_CENTRALITY,"low media visibility but high financial centrality","investigate backstage financial hub"
MEDIA_HUB_LOW_FINANCIAL,"high media centrality low money centrality","distinguish visibility from financial control"
ENTITY_CLUSTER_SPLIT,"community splits after new evidence","temporal community event"
ENTITY_CLUSTER_MERGE,"communities merge after new evidence","temporal community event"
BRIDGE_APPEARS,"new entity materially increases inter-community connectivity","temporal bridge lead"
BRIDGE_DISAPPEARS,"formerly central bridge loses observed ties","temporal structural change"
STANCE_CLUSTER_SHIFT,"community aggregate stance toward X changes over time","temporal discourse change"
NARRATIVE_CLUSTER_SHIFT,"dominant narrative in community changes","temporal narrative change"
COMMERCIAL_CLUSTER_SHIFT,"product/sponsor mix changes across community","temporal commercial change"
NEGATIVE_EVIDENCE_NO_FINANCIAL_LINK,"suspected coordination searched; no financial/shared-infrastructure evidence found","hypothesis-weakening evidence"
NEGATIVE_EVIDENCE_NO_CONTACT_LINK,"suspected coordination searched; no documented contact/media/event link found","hypothesis-weakening evidence"
INDEPENDENT_CORROBORATION,"same claim independently supported by distinct primary sources","stronger factual support"
PSEUDO_CORROBORATION,"multiple speakers trace to one source","not independent corroboration"
