candidate_key,display_name,candidate_type,canonical_entity_id,mention_count,distinct_content_count,distinct_source_count,speaker_count,sample_content_id,sample_snippet,batch_id,source_label
right and,Right. And,person_or_named_entity,,3,1,1,0,RD8gcj5aP74,>> [laughter] >> Right. And what I discovered it was the,20260919_234459_YT001,YT001
right do,Right. Do,person_or_named_entity,,3,1,1,0,RD8gcj5aP74,>> Right. >> Right. Do everything you can to keep,20260919_234459_YT001,YT001
september,September,named_entity,,3,1,1,0,ZW6Lf7iQV3Q,"on a range of goods effective late September. So, we haven't seen these",20260919_234459_YT001,YT001
there s,There's,named_entity,,3,1,1,0,p0jPh9KrCgc,"this could happen, you know, this kind of central control can happen. There's",20260919_234459_YT001,YT001
they re,They're,named_entity,,3,1,1,0,RD8gcj5aP74,net energy plus people are being destroyed. They're,20260919_234459_YT001,YT001
they ve,They've,named_entity,,3,1,1,0,37qD1Jj3NOc,Ireland. They have a memorandum of understanding. They've come to an,20260919_234459_YT001,YT001
to basically be able,to basically be able,organization,,3,1,1,0,RD8gcj5aP74,slug in charge in a neighborhood or in an organization to basically be able to,20260919_234459_YT001,YT001
united kingdom,United Kingdom,person_or_named_entity,,3,1,1,0,37qD1Jj3NOc,"who are all committed to independence from the United Kingdom. Hooray, hooray.",20260919_234459_YT001,YT001
us since,US. Since,person_or_named_entity,,3,1,1,0,ZW6Lf7iQV3Q,Uh get this. Here's where you see the reality what's going on in the US. Since,20260919_234459_YT001,YT001
wharton,Wharton,named_entity,,3,1,1,0,RD8gcj5aP74,">> than they produce. You know, if you go to Wharton and you read Deming and",20260919_234459_YT001,YT001
you ve,You've,named_entity,,3,1,1,0,ZW6Lf7iQV3Q,instead of buying processed foods. You've got to know where your food comes,20260919_234459_YT001,YT001
bloomberg news,Bloomberg News,organization,,2,1,1,0,ZW6Lf7iQV3Q,"price increases yet, according to memos viewed by Bloomberg News.",20260919_234459_YT001,YT001
bud one,Bud. One,person_or_named_entity,,2,1,1,0,p0jPh9KrCgc,"Two questions for you, Bud. One of the",20260919_234459_YT001,YT001
conagra,Conagra,named_entity,,2,1,1,0,ZW6Lf7iQV3Q,Campbell's and Conagra warn higher food,20260919_234459_YT001,YT001
forth and,Forth. And,person_or_named_entity,,2,1,1,0,DS3LfI1HbjI,Forth. And I tell the story when things,20260919_234459_YT001,YT001
ireland they,Ireland. They,person_or_named_entity,,2,1,1,0,37qD1Jj3NOc,Ireland. They have a memorandum of,20260919_234459_YT001,YT001
it because,it because,person_or_named_entity,,2,1,1,0,p0jPh9KrCgc,other states that they get consumed with it because,20260919_234459_YT001,YT001
street,Street,named_entity,,2,1,1,0,p0jPh9KrCgc,Street and,20260919_234459_YT001,YT001
tennessee,Tennessee,named_entity,,2,1,1,0,p0jPh9KrCgc,was people from small and regional banks in Tennessee.,20260919_234459_YT001,YT001
they ll,They'll,named_entity,,2,1,1,0,p0jPh9KrCgc,or not. That's not a bad way to That's a bad way to say it. They'll,20260919_234459_YT001,YT001
two,Two,named_entity,,2,1,1,0,p0jPh9KrCgc,"Two questions for you, Bud. One of the",20260919_234459_YT001,YT001
two uh,two uh,person_or_named_entity,,2,1,1,0,ZW6Lf7iQV3Q,by 4 to 5%. You can take that with two uh,20260919_234459_YT001,YT001
wall,Wall,named_entity,,2,1,1,0,p0jPh9KrCgc,"You know, but if you look at who owns their stock, it's BlackRock and Wall",20260919_234459_YT001,YT001
was required,was required,organization,,2,1,1,0,RD8gcj5aP74,>> [clears throat] >> section of the organization was required,20260919_234459_YT001,YT001
bloomberg news uh,Bloomberg News. Uh,organization,,1,1,1,0,ZW6Lf7iQV3Q,viewed by Bloomberg News. Uh get this. Here's where you see the,20260919_234459_YT001,YT001
inflation and then if you,inflation. And then if you,person_or_named_entity,,1,1,1,0,ZW6Lf7iQV3Q,>> That is going to be the way to deal with inflation. And then if you and your,20260919_234459_YT001,YT001
it because the emergency,it because the emergency,person_or_named_entity,,1,1,1,0,p0jPh9KrCgc,that they get consumed with it because the emergency and the the 11th hour is,20260919_234459_YT001,YT001
northern,Northern,named_entity,,1,1,1,0,37qD1Jj3NOc,Scotland and then Wales and Northern,20260919_234459_YT001,YT001
northern ireland they,Northern Ireland. They,person_or_named_entity,,1,1,1,0,37qD1Jj3NOc,Scotland and then Wales and Northern Ireland. They have a memorandum of,20260919_234459_YT001,YT001
tennessee you,Tennessee. You,person_or_named_entity,,1,1,1,0,p0jPh9KrCgc,"in Tennessee. You know, but if you look at who owns",20260919_234459_YT001,YT001
they ll they,They'll They,person_or_named_entity,,1,1,1,0,p0jPh9KrCgc,bad way to say it. They'll They will maneuver around in these,20260919_234459_YT001,YT001
turtle forth,Turtle Forth,person_or_named_entity,,1,1,1,0,DS3LfI1HbjI,commentary it's Larry called Turtle Forth. And I tell the story when things,20260919_234459_YT001,YT001
turtle forth and,Turtle Forth. And,person_or_named_entity,,1,1,1,0,DS3LfI1HbjI,commentary it's Larry called Turtle Forth. And I tell the story when things,20260919_234459_YT001,YT001
two uh processed packets of salt,two uh processed packets of salt,named_entity,,1,1,1,0,ZW6Lf7iQV3Q,4 to 5%. You can take that with two uh processed packets of salt.,20260919_234459_YT001,YT001
wall street,Wall Street,person_or_named_entity,,1,1,1,0,p0jPh9KrCgc,"their stock, it's BlackRock and Wall Street and",20260919_234459_YT001,YT001
was required by law,was required by law,organization,,1,1,1,0,RD8gcj5aP74,">> section of the organization was required by law to do, and how much capacity they",20260919_234459_YT001,YT001
