video_id,url,title,channel_id,channel_name,duration_seconds,live_status,tabs
qy_N0XOlApA,https://www.youtube.com/watch?v=qy_N0XOlApA,Find a Legislator Who Will Champion Your Bill—and Build a Relationship with Them,,,133,,videos
DrGmCAQxBig,https://www.youtube.com/watch?v=DrGmCAQxBig,You Can’t Heal When You Don’t Have Hope,,,35,,videos
LCbpnzlLKg8,https://www.youtube.com/watch?v=LCbpnzlLKg8,Mr. Global Is Everywhere—Our Job Is to Defend Civilization and What It Means to Be Human,,,164,,videos
3Yse_2fUKuk,https://www.youtube.com/watch?v=3Yse_2fUKuk,Use Personal Stories to Convince Your State Leaders to Move Legislation,,,58,,videos
C-nY_mj1XtE,https://www.youtube.com/watch?v=C-nY_mj1XtE,Health Insurance Is the Biggest Ponzi Scheme There Is,,,82,,videos
tUE5vpNZDtU,https://www.youtube.com/watch?v=tUE5vpNZDtU,"With Milk, the Cream Always Rises to the Top; We Could Say the Same about the Oligarchs",,,143,,videos
ChdoKKB48CU,https://www.youtube.com/watch?v=ChdoKKB48CU,"Throughout History, the Royal and Banking Families Have Controlled the State with Credit and Money",,,266,,videos
SAT9VaizQiY,https://www.youtube.com/watch?v=SAT9VaizQiY,Making the Transition from Credit Cards to Using Cash Is Worth It,,,92,,videos
4L0_mfIwTzY,https://www.youtube.com/watch?v=4L0_mfIwTzY,"With High-Quality Fixed Income, You Need to Know What You Are Doing When Underwriting Credits",,,50,,videos
sjqzf9ER_mA,https://www.youtube.com/watch?v=sjqzf9ER_mA,Nurses Who Practice in the Spirit of Florence Nightingale Are Not on Hospital Floors Anymore,,,74,,videos
Qvf4YA24LXM,https://www.youtube.com/watch?v=Qvf4YA24LXM,The Real Reason They’re Getting Rid of Pennies? It’s Another Step toward a Cashless Society,,,83,,videos
v02RjgeEg7Y,https://www.youtube.com/watch?v=v02RjgeEg7Y,China Has No Other Choice Than to Export Their Deflation,,,127,,videos
4t6o_sBGuaU,https://www.youtube.com/watch?v=4t6o_sBGuaU,Nurse Advocates Provide Healthcare the Way It Was Meant to Be,,,49,,videos
0CYfIbJHp2U,https://www.youtube.com/watch?v=0CYfIbJHp2U,Rep Heather Scott: “Solari Has Been Instrumental in State Legislation to Preserve Financial Freedom”,,,24,,videos
JXo9mjpc2Wg,https://www.youtube.com/watch?v=JXo9mjpc2Wg,A Nurse Advocate Can Help You Navigate the “Penitentiary” We Call Hospitals,,,139,,videos
wnz7NM7h9R4,https://www.youtube.com/watch?v=wnz7NM7h9R4,The U.S. Is Winning the Energy War by Shutting Down Its Competitors,,,97,,videos
v-BQUZFqnRc,https://www.youtube.com/watch?v=v-BQUZFqnRc,How Do We Help State Leaders Focus on the Urgency of Putting Guardrails on Programmable Money?,,,196,,videos
es1SX2TSqz8,https://www.youtube.com/watch?v=es1SX2TSqz8,One of the Primary Reasons for War Is to Control Your Domestic Population,,,79,,videos
xPEfDUJiE_w,https://www.youtube.com/watch?v=xPEfDUJiE_w,"The Central Bankers Want to Control Not Just Monetary Policy but Fiscal Policy, Too",,,107,,videos
j4rItIYZV_o,https://www.youtube.com/watch?v=j4rItIYZV_o,Young People Are Not Interested in the Uniparty; Change Is Coming,,,180,,videos
XBdxRddutME,https://www.youtube.com/watch?v=XBdxRddutME,"Things Will Change, but the Hardest Part Is We First Need to Find Each Other",,,99,,videos
sSrRCNjcm5I,https://www.youtube.com/watch?v=sSrRCNjcm5I,"AI Advice Suppresses Critical Thinking, Making People More Likely to Parrot Incorrect Information",,,153,,videos
0X0H0jcnelU,https://www.youtube.com/watch?v=0X0H0jcnelU,We Need to Be Upfront That There Are Risks Involved by Opposing the Government,,,105,,videos
tdcH4dZ12vQ,https://www.youtube.com/watch?v=tdcH4dZ12vQ,Student Loan Debt Was Intentionally Caused through Fraudulent Inducement,,,100,,videos
-B0a3XR-rQM,https://www.youtube.com/watch?v=-B0a3XR-rQM,"Are the Deep State Buying Bunkers? They Must Know That Sooner or Later, the Pitchforks Will Come Out",,,36,,videos
FXNfNrtGHlo,https://www.youtube.com/watch?v=FXNfNrtGHlo,World War III Madness Is under Way,,,208,,videos
SOADMgNpZr0,https://www.youtube.com/watch?v=SOADMgNpZr0,Critical Mass Can Be Achieved by Connecting Different Networks That Oppose the Government,,,156,,videos
p0mDiJCUXWc,https://www.youtube.com/watch?v=p0mDiJCUXWc,It’s Time for the Crypto Industry to Step Up and Help to Put Up Guardrails,,,287,,videos
WGn_E_9ZS2Q,https://www.youtube.com/watch?v=WGn_E_9ZS2Q,And the Award for Worst Marketing Job of the Year Goes to... Treasury Secretary Scott Bessent,,,145,,videos
oGWf3g8iYLA,https://www.youtube.com/watch?v=oGWf3g8iYLA,"With Surveillance Systems Nearly Here, Is Mr. Global Getting Ready to Bring Out Breakthrough Energy?",,,363,,videos
RRdQPuFQCik,https://www.youtube.com/watch?v=RRdQPuFQCik,Questioning Policies Is More Effective than Direct Political Confrontation,,,243,,videos
9Td1lcX-Cno,https://www.youtube.com/watch?v=9Td1lcX-Cno,Channel Wars and Data Chokepoints—Are Non-State Actors Involved in Communications Sabotage?,,,320,,videos
v4d389XfJbA,https://www.youtube.com/watch?v=v4d389XfJbA,Flock License Plate Readers Create an Overly Broad Dragnet,,,156,,videos
tK4hyAbE3rw,https://www.youtube.com/watch?v=tK4hyAbE3rw,The Poles Are Highly Educated: A Manhattan Driver Who’d Been a Professor in Poland Taught Me Physics,,,120,,videos
Oxk8BAFUdBE,https://www.youtube.com/watch?v=Oxk8BAFUdBE,"What the Polish People Did Can Be Adapted to the West, with Some Caveats",,,196,,videos
SR4Myof7g0Q,https://www.youtube.com/watch?v=SR4Myof7g0Q,"The Poles Developed a Brilliant, Decentralized Formula for How to Confront a Tyrannical Government",,,121,,videos
qy-4MKNeDzU,https://www.youtube.com/watch?v=qy-4MKNeDzU,The Government Is Not the Culture,,,63,,videos
LWo92RhcKhc,https://www.youtube.com/watch?v=LWo92RhcKhc,"People Consider Inflation the Number One Issue, but They Don’t Understand It",,,146,,videos
-YPhdbbhvv4,https://www.youtube.com/watch?v=-YPhdbbhvv4,Public-Private Partnerships Are Much More Dangerous than the Government Alone,,,100,,videos
raxt96y9XFQ,https://www.youtube.com/watch?v=raxt96y9XFQ,Threat of Tariffs and Europe’s Talk of a “Tech Tax” Are the Fight to Control Digital Train Tracks,,,160,,videos
eRQbIpPkxVE,https://www.youtube.com/watch?v=eRQbIpPkxVE,This Chart Confirms What We Already Suspected. The Medical Industry Is a Total Fraud,,,90,,videos
x0S5J-EquJA,https://www.youtube.com/watch?v=x0S5J-EquJA,The Phinance Technologies Inflation Model Is Unique—and a Must-Have to Understand the Economy,,,39,,videos
v5Hdh0OeemA,https://www.youtube.com/watch?v=v5Hdh0OeemA,"What Are the Impacts of Inflation, Both in Terms of People’s Everyday Concerns and Politics?",,,119,,videos
r8zJxgGRapQ,https://www.youtube.com/watch?v=r8zJxgGRapQ,Inflation Is Determined More by Policy than Technological Innovation,,,193,,videos
wfpVe_F_0UE,https://www.youtube.com/watch?v=wfpVe_F_0UE,People Making Money from Bubbled Stocks Don’t See That They’re Financing the Control Grid,,,261,,videos
mq7GSzwaGBw,https://www.youtube.com/watch?v=mq7GSzwaGBw,A Discussion of Open-Source AI with Travis Oliphant (Full Interview),,,4667,,videos
WCezIGm3Cp4,https://www.youtube.com/watch?v=WCezIGm3Cp4,AI Has Been Weaponized by the Guys Who Weaponize Everything,,,200,,videos
OfkOHFgjZek,https://www.youtube.com/watch?v=OfkOHFgjZek,Will the Trump Family’s Outrageous Stablecoin Grift Backfire and Make People Not Want Stablecoins?,,,78,,videos
tQjAGbYIw00,https://www.youtube.com/watch?v=tQjAGbYIw00,Is Some of the Missing Money Being Used to Build and Sustain Data Centers?,,,143,,videos
ilzuEH2Enr4,https://www.youtube.com/watch?v=ilzuEH2Enr4,"Through Technology, a Centuries-Old Battle Is Coming to a Head",,,233,,videos
ad0pzcCcJ04,https://www.youtube.com/watch?v=ad0pzcCcJ04,The Way to Get People out of the Trance Is to Get Them into the Creative Mode,,,66,,videos
LTWifAkVVDg,https://www.youtube.com/watch?v=LTWifAkVVDg,"The U.S. Is Not Able to Protect Its Allies, and Now They Have a Target on Their Back",,,138,,videos
vR-o6IGspmU,https://www.youtube.com/watch?v=vR-o6IGspmU,Turtling for Cash Part II (Full Interview),,,6745,,videos
H0v8c7WingM,https://www.youtube.com/watch?v=H0v8c7WingM,"If You Organize Locally and Strategically, Pushback against Tyranny Is Possible",,,158,,videos
eyItREqSFvA,https://www.youtube.com/watch?v=eyItREqSFvA,"There Is No Escape from Global Policy Agenda, Stay in Your Country & Fight for What You Believe In",,,257,,videos
r7POfIOIJd8,https://www.youtube.com/watch?v=r7POfIOIJd8,How Do We Restore Privacy in the Home? Step One: Get Rid of the TV,,,175,,videos
WET6BjpHGkc,https://www.youtube.com/watch?v=WET6BjpHGkc,Your “Pattern-of-Life” Data Creates a Profile That Government Could Use to Flag You as a Terrorist,,,276,,videos
IERDRFLdgbw,https://www.youtube.com/watch?v=IERDRFLdgbw,Two Weeks to Flatten the Curve on a Loop,,,50,,videos
mD_aE7ZCMoo,https://www.youtube.com/watch?v=mD_aE7ZCMoo,The Paradigm Shift from a Two-Lock to a Three-Lock Financial Transaction System,,,231,,videos
71DIp8e2mXk,https://www.youtube.com/watch?v=71DIp8e2mXk,"The Model Is Not “One Puppet Master at the Top”—It’s a Complex, Integrated Web with Common Cause",,,161,,videos
eoeftpuyQXw,https://www.youtube.com/watch?v=eoeftpuyQXw,The Traditional Worldview of What It Means to Be Human Is under Attack—It’s “Worldview Warfare”,,,141,,videos
1q3O8KbUHfU,https://www.youtube.com/watch?v=1q3O8KbUHfU,China Says No to Foreign Stablecoins. They Want Control over Their Money,,,87,,videos
WFgjKQU-yFE,https://www.youtube.com/watch?v=WFgjKQU-yFE,It’s No Coincidence That “Well-Baby Visits” Sync Up with the Vaccine Schedule,,,196,,videos
aQYwmh0gCQo,https://www.youtube.com/watch?v=aQYwmh0gCQo,"The Entire Pentagon Budget Is Organized to Push Stocks Up, Not Win Wars",,,110,,videos
zXpH1Lw08m0,https://www.youtube.com/watch?v=zXpH1Lw08m0,"Massie’s Supporters (under 65s) Were Saying with Their Vote, “We’ve Had It” with Business As Usual",,,90,,videos
Xu8_onfDCsQ,https://www.youtube.com/watch?v=Xu8_onfDCsQ,Young People Are Getting Excited about Going Back to Traditional Ways,,,340,,videos
gARqk3nMoGc,https://www.youtube.com/watch?v=gARqk3nMoGc,Food Is a Gateway to Healing Chronic Illness,,,102,,videos
vVa6h4WYlOw,https://www.youtube.com/watch?v=vVa6h4WYlOw,"In the U.S., the AI Agenda Is about Control. The Chinese Use AI to Be Productive",,,184,,videos
6Mg0q_IyWgY,https://www.youtube.com/watch?v=6Mg0q_IyWgY,Another Fake Pandemic Is a Great Distraction and Cover Story for Fuel Rationing,,,99,,videos
tXxuSX7iNeM,https://www.youtube.com/watch?v=tXxuSX7iNeM,Is the Plan to Plunder the West?,,,143,,videos
taUQwaop3Ro,https://www.youtube.com/watch?v=taUQwaop3Ro,"If the Universe Consists of 99.9% Plasma, Then 99.9% of All Life-Forms Probably Consist of Plasma",,,117,,videos
oc8B5AqvkUE,https://www.youtube.com/watch?v=oc8B5AqvkUE,Plasma Shows Us That We Are Not Alone in the Universe,,,189,,videos
MGnJEb4sXwM,https://www.youtube.com/watch?v=MGnJEb4sXwM,Civilization at the Crossroads with Alastair Crooke (Full Interview),,,4889,,videos
KiRtjIh2kjc,https://www.youtube.com/watch?v=KiRtjIh2kjc,We Need a Plasma-Based Physics Rather than an Atom-Based Physics,,,127,,videos
58byubq4VLQ,https://www.youtube.com/watch?v=58byubq4VLQ,The Trump Family Is Setting Itself Up to Be the Next Scapegoat,,,66,,videos
SkLWbV2A-aI,https://www.youtube.com/watch?v=SkLWbV2A-aI,The Numbers Tell the Story: It’s a Shutdown of the Global Economy,,,92,,videos
MaTz-usR3uo,https://www.youtube.com/watch?v=MaTz-usR3uo,The Iron Bank Always Wins,,,87,,videos
87SJi_DDbt4,https://www.youtube.com/watch?v=87SJi_DDbt4,Congress Responds When People Get on the Phone or Send Handwritten Letters,,,105,,videos
INWRgXjwPXk,https://www.youtube.com/watch?v=INWRgXjwPXk,Is Betting on Assassinations and War the New Form of Insider Trading?,,,141,,videos
YItOkNjS4OY,https://www.youtube.com/watch?v=YItOkNjS4OY,The Push to Control Energy Is On; It’s Creating Energy Scarcity Globally,,,223,,videos
OnEOcaUnBg0,https://www.youtube.com/watch?v=OnEOcaUnBg0,Companies Focused on Financialization Instead of Workplace Culture Have a “Paul O’Neill Problem”,,,102,,videos
