id,name,type,cluster,priority,min_sources,status,known_connection
infowars,"Infowars / Alex Jones",organization,MediaNetwork,HIGH,50,seed,"Shared Fitts/Armstrong amplifier"
martenson_chris,"Chris Martenson / Peak Prosperity",person,MediaNetwork,HIGH,50,seed,"Finance/collapse media overlap"
campbell_mike,"Mike Campbell / MoneyTalks",person,ArmstrongNetwork,HIGH,50,seed,"Armstrong friend/WEC contributor"
lutz_kerry,"Kerry Lutz / Financial Survival Network",person,ArmstrongNetwork,HIGH,50,seed,"Armstrong interviewer/book collaborator"
pletsch_erwin,"Erwin Pletsch",person,ArmstrongNetwork,MEDIUM,50,seed,"Armstrong-branded education/training"
wapf,"Weston A. Price Foundation",organization,HealthNetwork,HIGH,50,seed,"Fitts conference/exhibitor ecosystem"
fallon_sally,"Sally Fallon Morell",person,HealthNetwork,MEDIUM,50,seed,"WAPF leadership"
coffee_mike,"Coffee and a Mike",organization,MediaNetwork,MEDIUM,50,seed,"Fitts/Armstrong interview bridge"
commodity_culture,"Commodity Culture",organization,MediaNetwork,MEDIUM,50,seed,"Armstrong media circuit"
canadian_prepper,"Canadian Prepper",organization,Preparedness,MEDIUM,50,seed,"Armstrong media circuit"
palisades_radio,"Palisades Gold Radio",organization,PreciousMetals,MEDIUM,50,seed,"Armstrong media circuit"
faraday_defense,"Faraday Defense",organization,Products,HIGH,50,seed,"Solari interview/product relationship to investigate"
doctors_appeal,"Doctors' Appeal / On Guard conference",organization,Conference,HIGH,50,seed,"2023 shared Fitts/Armstrong conference hub"
