watcher_id,name,type,direct_target,area,initial_value,reliability_tier,independence_notes,url,status,notes
W023,"OpenSecrets",nonprofit research database,"political money branch","campaign/lobbying money","Tracks political contributions and lobbying","A/B","Nonprofit transparency organization",https://www.opensecrets.org/,active,"Use where political spending appears"
W024,"CourtListener / RECAP",legal database,"all legal histories","court filings and opinions","Searchable federal court records and archived PACER docs","A/B","Free Law Project; primary documents where available",https://www.courtlistener.com/,active,"High-priority legal evidence"
W025,"SEC EDGAR / Enforcement",regulator/database,"financial actors","securities filings and enforcement","Primary filings and enforcement records","PRIMARY","Government source; not an independent critic",https://www.sec.gov/,active,"Use to verify positions, entities, adviser history"
W026,"CFTC Enforcement",regulator/database,"Armstrong/commodities actors","commodities enforcement","Primary Armstrong enforcement and historical records","PRIMARY","Government source",https://www.cftc.gov/,active,"Core Armstrong evidence"
W027,"FINRA BrokerCheck",regulator/database,"financial professionals","broker registrations/disclosures","Employment, registrations, disclosures","PRIMARY","Regulatory database",https://brokercheck.finra.org/,active,"Check every claimed broker/adviser"
W028,"SEC IAPD",regulator/database,"investment advisers","adviser registrations","Form ADV and adviser disclosures","PRIMARY","Regulatory database",https://adviserinfo.sec.gov/,active,"Check investment-management claims"
W029,"NFA BASIC",regulator/SRO database,"futures/forex actors","commodity registrations","Registration and disciplinary records","PRIMARY","NFA regulatory/SRO database",https://www.nfa.futures.org/basicnet/,active,"Check commodity businesses"
W030,"FTC Enforcement / Warning Letters",regulator,"commercial products","marketing, endorsements, consumer protection","Primary enforcement for deceptive marketing and endorsements","PRIMARY","Government source",https://www.ftc.gov/,active,"Critical for product claims"
W031,"FDA databases / Warning Letters",regulator,"health/device products","medical claims and device status","Primary status, recalls, warning letters","PRIMARY","Government source",https://www.fda.gov/,active,"Critical for DNA/health/device claims"
W032,"FCC equipment authorization database",regulator/database,"electronic products","hardware provenance","Internal photos, test reports, grantee/manufacturer clues","PRIMARY","Government records",https://www.fcc.gov/oet/ea/fccid,active,"Very useful for EMF/electronic devices"
W033,"USPTO",government database,"products/entities","patents/trademarks/ownership","Ownership and IP relationships","PRIMARY","Government records",https://www.uspto.gov/,active,"Patent is not efficacy proof"
W034,"ImportYeti",supply-chain database,"physical products","imports/manufacturing","Bills-of-lading-derived supplier relationships","B","Commercial/public-data tool; coverage limitations",https://www.importyeti.com/,active,"Useful for Made-in-USA/OEM testing"
W035,"BBB",consumer complaint database,"commercial entities","billing/service complaints","Complaint patterns and company responses","C","Not a regulator and ratings have limitations",https://www.bbb.org/,active,"Use complaints as allegations/customer reports"
W036,"Trustpilot",review platform,"commercial entities","customer experience","Potential recurring complaint themes","D","Reviews susceptible to selection/manipulation",https://www.trustpilot.com/,active,"Pattern discovery only"
